"id","general","personality","tech"
136,"ANALYSIS","na","na"
136,"COMPUTER SCIENCE","na","na"
136,"AI","na","na"
136,"ARTIFICIAL INTELLIGENCE","na","na"
137,"AI","na","na"
137,"ARTIFICIAL INTELLIGENCE","na","na"
137,"PROJECT MANAGEMENT","na","na"
138,"MACHINE LEARNING","na","na"
138,"COMPUTER SCIENCE","na","na"
138,"AI","na","na"
138,"ARTIFICIAL INTELLIGENCE","na","na"
138,"SOFTWARE DEVELOPMENT","na","na"
139,"ANALYSIS","na","na"
139,"MACHINE LEARNING","na","na"
139,"COMPUTER SCIENCE","na","na"
139,"AI","na","na"
139,"SOFTWARE DEVELOPMENT","na","na"
139,"SOFTWARE ENGINEER","na","na"
141,"MACHINE LEARNING","na","na"
141,"STATISTICS","na","na"
141,"COMPUTER SCIENCE","na","na"
141,"MATHEMATICS","na","na"
141,"VISUALIZATION","na","na"
141,"AI","na","na"
141,"DATA ANALYTICS","na","na"
141,"ALGORITHMS","na","na"
142,"MACHINE LEARNING","na","na"
142,"AI","na","na"
142,"DEEP LEARNING","na","na"
142,"PREDICTIVE MODELS","na","na"
143,"ANALYSIS","na","na"
143,"MACHINE LEARNING","na","na"
143,"STATISTICS","na","na"
143,"AI","na","na"
143,"PREDICTIVE MODELS","na","na"
143,"PREDICTIVE MODELING","na","na"
144,"ANALYSIS","na","na"
144,"MACHINE LEARNING","na","na"
144,"STATISTICS","na","na"
144,"VISUALIZATION","na","na"
144,"AI","na","na"
144,"PREDICTIVE MODELING","na","na"
144,"DATA MINING","na","na"
144,"ALGORITHMS","na","na"
144,"STATISTICAL MODELING","na","na"
145,"ANALYSIS","na","na"
145,"STATISTICS","na","na"
145,"AI","na","na"
146,"ANALYSIS","na","na"
146,"MACHINE LEARNING","na","na"
146,"STATISTICS","na","na"
146,"MATHEMATICS","na","na"
146,"AI","na","na"
146,"NLP","na","na"
146,"PREDICTIVE MODELING","na","na"
146,"ALGORITHMS","na","na"
146,"UNSTRUCTURED DATA","na","na"
147,"MACHINE LEARNING","na","na"
147,"STATISTICS","na","na"
147,"MATHEMATICS","na","na"
147,"AI","na","na"
